task_id,date,operator_id,machine_id,site_id,task_type,environmental_condition,terrain_type,ambient_temp_c,visibility_pct,site_traffic_density,scheduled_start,scheduled_end,priority,status
TSK-00019,2026-08-24,OP-013,MC-008,SITE-D,Material Loading,Clear,Muddy,27.5,88.3,Medium,2026-08-24T19:00:00,2026-08-24T20:04:00,Low,Scheduled
TSK-00020,2026-08-24,OP-014,MC-010,SITE-C,Demolition,Clear,Muddy,31.3,86.2,High,2026-08-24T07:00:00,2026-08-24T09:16:00,Low,Scheduled
TSK-00021,2026-08-24,OP-015,MC-006,SITE-B,Grading,Clear,Soft Soil,19.9,76.9,Medium,2026-08-24T19:00:00,2026-08-24T20:17:00,Low,Scheduled
TSK-00022,2026-08-25,OP-001,MC-001,SITE-C,Material Loading,High Wind,Hard Soil,23.0,82.7,Low,2026-08-25T19:00:00,2026-08-25T20:06:00,Medium,Scheduled
TSK-00023,2026-08-25,OP-001,MC-007,SITE-C,Excavation,High Wind,Soft Soil,20.0,69.2,Low,2026-08-25T20:36:00,2026-08-25T22:14:00,Medium,Scheduled
TSK-00024,2026-08-25,OP-001,MC-002,SITE-B,Grading,High Wind,Soft Soil,16.2,64.0,Medium,2026-08-25T22:24:00,2026-08-25T23:34:00,Medium,Scheduled
TSK-00025,2026-08-25,OP-002,MC-001,SITE-C,Grading,High Wind,Soft Soil,26.8,80.6,Low,2026-08-25T07:00:00,2026-08-25T08:18:00,High,Scheduled
TSK-00026,2026-08-25,OP-003,MC-004,SITE-C,Material Loading,Clear,Hard Soil,14.3,71.1,Low,2026-08-25T19:00:00,2026-08-25T19:58:00,Low,Scheduled
TSK-00027,2026-08-25,OP-004,MC-006,SITE-D,Excavation,Dust Storm,Soft Soil,32.8,27.0,Medium,2026-08-25T07:00:00,2026-08-25T08:53:00,High,Scheduled
TSK-00028,2026-08-25,OP-005,MC-009,SITE-B,Demolition,Rain,Muddy,16.4,44.1,Low,2026-08-25T19:00:00,2026-08-25T21:44:00,Low,Scheduled
TSK-00029,2026-08-25,OP-005,MC-008,SITE-A,Trenching,Dust Storm,Hard Soil,15.0,13.8,Low,2026-08-25T21:54:00,2026-08-26T00:19:00,Low,Scheduled
TSK-00030,2026-08-25,OP-006,MC-006,SITE-B,Material Loading,Rain,Soft Soil,19.3,46.4,High,2026-08-25T07:00:00,2026-08-25T08:05:00,High,Scheduled
TSK-00031,2026-08-25,OP-006,MC-002,SITE-B,Grading,High Wind,Hard Soil,21.1,94.2,High,2026-08-25T08:35:00,2026-08-25T09:58:00,Medium,Scheduled
TSK-00032,2026-08-25,OP-007,MC-008,SITE-B,Trenching,Rain,Rocky,24.2,43.0,High,2026-08-25T19:00:00,2026-08-25T21:37:00,Low,Scheduled
TSK-00033,2026-08-25,OP-008,MC-008,SITE-A,Grading,Dust Storm,Hard Soil,33.0,46.3,High,2026-08-25T07:00:00,2026-08-25T08:27:00,Medium,Scheduled
TSK-00034,2026-08-25,OP-008,MC-010,SITE-C,Grading,Dust Storm,Hard Soil,40.7,25.8,Low,2026-08-25T08:57:00,2026-08-25T10:14:00,Medium,Scheduled
TSK-00035,2026-08-25,OP-008,MC-007,SITE-C,Material Loading,Clear,Soft Soil,29.4,88.3,Low,2026-08-25T10:29:00,2026-08-25T11:28:00,High,Scheduled
TSK-00036,2026-08-25,OP-009,MC-003,SITE-A,Grading,Clear,Rocky,22.0,78.8,High,2026-08-25T19:00:00,2026-08-25T20:33:00,Medium,Scheduled
TSK-00037,2026-08-25,OP-009,MC-003,SITE-C,Trenching,Clear,Soft Soil,26.5,75.0,Medium,2026-08-25T20:53:00,2026-08-25T22:51:00,Low,Scheduled
TSK-00038,2026-08-25,OP-010,MC-005,SITE-C,Demolition,Clear,Rocky,29.8,98.9,Low,2026-08-25T07:00:00,2026-08-25T09:22:00,High,Scheduled
TSK-00039,2026-08-25,OP-011,MC-010,SITE-C,Trenching,Rain,Rocky,14.7,41.4,Medium,2026-08-25T19:00:00,2026-08-25T21:54:00,Medium,Scheduled
TSK-00040,2026-08-25,OP-011,MC-006,SITE-B,Trenching,Rain,Rocky,5.0,65.3,Medium,2026-08-25T22:09:00,2026-08-26T00:28:00,High,Scheduled
TSK-00041,2026-08-25,OP-012,MC-009,SITE-D,Demolition,Clear,Hard Soil,28.4,87.9,Medium,2026-08-25T07:00:00,2026-08-25T09:43:00,High,Scheduled
TSK-00042,2026-08-25,OP-012,MC-001,SITE-A,Excavation,Clear,Rocky,30.5,92.3,High,2026-08-25T09:58:00,2026-08-25T12:14:00,High,Scheduled
TSK-00043,2026-08-25,OP-013,MC-005,SITE-B,Excavation,Dust Storm,Hard Soil,28.6,5.0,Low,2026-08-25T19:00:00,2026-08-25T21:00:00,Medium,Scheduled
TSK-00044,2026-08-25,OP-013,MC-009,SITE-D,Trenching,Dust Storm,Hard Soil,37.7,10.2,Medium,2026-08-25T21:30:00,2026-08-25T23:19:00,Low,Scheduled
TSK-00045,2026-08-25,OP-014,MC-008,SITE-B,Excavation,Clear,Muddy,27.5,94.4,Medium,2026-08-25T07:00:00,2026-08-25T08:54:00,Medium,Scheduled
TSK-00046,2026-08-25,OP-014,MC-007,SITE-B,Trenching,Dust Storm,Rocky,35.3,31.0,Medium,2026-08-25T09:04:00,2026-08-25T11:57:00,High,Scheduled
TSK-00047,2026-08-25,OP-014,MC-006,SITE-D,Trenching,Dust Storm,Muddy,41.7,49.4,Low,2026-08-25T12:27:00,2026-08-25T15:04:00,High,Scheduled
TSK-00048,2026-08-25,OP-015,MC-009,SITE-D,Trenching,Rain,Rocky,14.4,46.3,Low,2026-08-25T19:00:00,2026-08-25T21:38:00,High,Scheduled
TSK-00049,2026-08-25,OP-015,MC-005,SITE-A,Trenching,Clear,Hard Soil,22.1,65.9,High,2026-08-25T21:58:00,2026-08-25T23:44:00,High,Scheduled
TSK-00050,2026-08-26,OP-001,MC-002,SITE-D,Trenching,Clear,Muddy,28.9,77.6,High,2026-08-26T19:00:00,2026-08-26T20:54:00,Medium,Scheduled
TSK-00051,2026-08-26,OP-001,MC-008,SITE-D,Material Loading,Clear,Rocky,22.4,68.1,High,2026-08-26T21:04:00,2026-08-26T22:09:00,High,Scheduled
TSK-00052,2026-08-26,OP-001,MC-007,SITE-B,Trenching,Clear,Rocky,25.4,65.4,Medium,2026-08-26T22:39:00,2026-08-27T00:56:00,Medium,Scheduled
TSK-00053,2026-08-26,OP-002,MC-008,SITE-D,Trenching,High Wind,Soft Soil,25.0,70.7,Medium,2026-08-26T07:00:00,2026-08-26T08:50:00,Low,Scheduled
TSK-00054,2026-08-26,OP-003,MC-005,SITE-B,Excavation,Dust Storm,Hard Soil,28.9,5.0,Low,2026-08-26T19:00:00,2026-08-26T21:12:00,Medium,Scheduled
TSK-00055,2026-08-26,OP-003,MC-001,SITE-C,Material Loading,Rain,Muddy,18.7,47.5,Medium,2026-08-26T21:32:00,2026-08-26T22:40:00,Medium,Scheduled
TSK-00056,2026-08-26,OP-003,MC-001,SITE-B,Excavation,Rain,Soft Soil,21.6,42.5,High,2026-08-26T23:10:00,2026-08-27T00:30:00,Low,Scheduled
TSK-00057,2026-08-26,OP-004,MC-009,SITE-D,Trenching,Rain,Hard Soil,22.5,59.2,Medium,2026-08-26T07:00:00,2026-08-26T09:15:00,Low,Scheduled
TSK-00058,2026-08-26,OP-005,MC-010,SITE-B,Demolition,High Wind,Soft Soil,23.5,52.1,Low,2026-08-26T19:00:00,2026-08-26T21:11:00,Medium,Scheduled
TSK-00059,2026-08-26,OP-006,MC-009,SITE-B,Excavation,Clear,Hard Soil,20.8,90.9,Medium,2026-08-26T07:00:00,2026-08-26T08:43:00,High,Scheduled
TSK-00060,2026-08-26,OP-006,MC-008,SITE-A,Material Loading,Rain,Soft Soil,21.2,50.3,High,2026-08-26T09:03:00,2026-08-26T10:09:00,Low,Scheduled
TSK-00061,2026-08-26,OP-006,MC-002,SITE-C,Trenching,Clear,Muddy,26.6,78.2,Low,2026-08-26T10:29:00,2026-08-26T12:41:00,High,Scheduled
TSK-00062,2026-08-26,OP-007,MC-001,SITE-B,Demolition,Clear,Rocky,17.8,72.4,High,2026-08-26T19:00:00,2026-08-26T21:55:00,High,Scheduled
TSK-00063,2026-08-26,OP-007,MC-007,SITE-C,Excavation,Clear,Hard Soil,17.5,71.1,Low,2026-08-26T22:25:00,2026-08-27T00:11:00,High,Scheduled
TSK-00064,2026-08-26,OP-007,MC-003,SITE-D,Material Loading,Clear,Muddy,33.1,87.5,Low,2026-08-27T00:41:00,2026-08-27T01:42:00,Medium,Scheduled
TSK-00065,2026-08-26,OP-008,MC-006,SITE-A,Excavation,Clear,Hard Soil,29.1,97.0,Medium,2026-08-26T07:00:00,2026-08-26T08:45:00,Medium,Scheduled
TSK-00066,2026-08-26,OP-008,MC-003,SITE-B,Trenching,Rain,Muddy,12.9,74.6,High,2026-08-26T09:15:00,2026-08-26T11:40:00,Medium,Scheduled
TSK-00067,2026-08-26,OP-009,MC-005,SITE-D,Demolition,Rain,Rocky,24.0,63.2,Medium,2026-08-26T19:00:00,2026-08-26T22:11:00,Medium,Scheduled
TSK-00068,2026-08-26,OP-010,MC-009,SITE-D,Grading,Clear,Rocky,26.5,82.9,Low,2026-08-26T07:00:00,2026-08-26T08:35:00,Medium,Scheduled
TSK-00069,2026-08-26,OP-010,MC-008,SITE-A,Grading,Rain,Hard Soil,19.6,74.1,Medium,2026-08-26T08:50:00,2026-08-26T10:26:00,Medium,Scheduled
TSK-00070,2026-08-26,OP-011,MC-004,SITE-A,Grading,Dust Storm,Rocky,32.8,27.2,Medium,2026-08-26T19:00:00,2026-08-26T21:05:00,Medium,Scheduled
TSK-00071,2026-08-26,OP-011,MC-005,SITE-A,Grading,High Wind,Rocky,19.9,66.0,High,2026-08-26T21:25:00,2026-08-26T23:11:00,Medium,Scheduled
TSK-00072,2026-08-26,OP-012,MC-002,SITE-D,Excavation,Clear,Hard Soil,21.5,90.4,Low,2026-08-26T07:00:00,2026-08-26T08:46:00,Low,Scheduled
TSK-00073,2026-08-26,OP-012,MC-005,SITE-A,Demolition,Clear,Soft Soil,28.1,100.0,High,2026-08-26T09:16:00,2026-08-26T11:24:00,Low,Scheduled
TSK-00074,2026-08-26,OP-012,MC-006,SITE-B,Excavation,Dust Storm,Rocky,39.9,40.1,High,2026-08-26T11:34:00,2026-08-26T13:41:00,High,Scheduled
TSK-00075,2026-08-26,OP-013,MC-008,SITE-B,Trenching,Rain,Muddy,9.3,30.3,High,2026-08-26T19:00:00,2026-08-26T21:21:00,Medium,Scheduled
TSK-00076,2026-08-26,OP-013,MC-010,SITE-A,Grading,Rain,Soft Soil,15.7,25.7,High,2026-08-26T21:41:00,2026-08-26T22:58:00,Low,Scheduled
TSK-00077,2026-08-26,OP-013,MC-009,SITE-A,Trenching,Clear,Muddy,27.4,84.4,High,2026-08-26T23:18:00,2026-08-27T01:39:00,High,Scheduled
TSK-00078,2026-08-26,OP-014,MC-007,SITE-D,Material Loading,Clear,Hard Soil,35.5,95.9,High,2026-08-26T07:00:00,2026-08-26T07:45:00,Medium,Scheduled
TSK-00079,2026-08-26,OP-014,MC-005,SITE-A,Material Loading,Clear,Hard Soil,34.0,96.0,High,2026-08-26T08:00:00,2026-08-26T08:54:00,Low,Scheduled
TSK-00080,2026-08-26,OP-015,MC-004,SITE-C,Trenching,Clear,Rocky,18.1,65.4,Low,2026-08-26T19:00:00,2026-08-26T21:19:00,High,Scheduled
TSK-00081,2026-08-27,OP-001,MC-002,SITE-D,Trenching,Clear,Soft Soil,30.9,74.4,High,2026-08-27T19:00:00,2026-08-27T20:39:00,High,Scheduled
TSK-00082,2026-08-27,OP-001,MC-007,SITE-A,Demolition,High Wind,Rocky,19.0,42.3,Low,2026-08-27T20:59:00,2026-08-28T00:16:00,Medium,Scheduled
TSK-00083,2026-08-27,OP-001,MC-009,SITE-B,Trenching,High Wind,Muddy,19.2,46.8,High,2026-08-28T00:31:00,2026-08-28T02:35:00,High,Scheduled
TSK-00084,2026-08-27,OP-002,MC-010,SITE-B,Material Loading,Clear,Muddy,24.7,94.7,Medium,2026-08-27T07:00:00,2026-08-27T07:58:00,High,Scheduled
TSK-00085,2026-08-27,OP-003,MC-005,SITE-D,Material Loading,Clear,Rocky,32.5,70.0,Low,2026-08-27T19:00:00,2026-08-27T20:08:00,Low,Scheduled
TSK-00086,2026-08-27,OP-004,MC-002,SITE-D,Demolition,Clear,Rocky,22.5,100.0,High,2026-08-27T07:00:00,2026-08-27T10:32:00,Low,Scheduled
TSK-00087,2026-08-27,OP-004,MC-009,SITE-B,Material Loading,Clear,Hard Soil,27.3,95.2,Medium,2026-08-27T11:02:00,2026-08-27T11:42:00,Low,Scheduled
TSK-00088,2026-08-27,OP-004,MC-005,SITE-A,Grading,High Wind,Hard Soil,14.1,67.3,Medium,2026-08-27T12:12:00,2026-08-27T13:48:00,High,Scheduled
TSK-00089,2026-08-27,OP-005,MC-004,SITE-A,Trenching,Clear,Soft Soil,19.8,69.9,High,2026-08-27T19:00:00,2026-08-27T20:37:00,High,Scheduled
TSK-00090,2026-08-27,OP-005,MC-007,SITE-C,Trenching,Clear,Muddy,17.6,69.6,Low,2026-08-27T20:52:00,2026-08-27T22:41:00,High,Scheduled
TSK-00091,2026-08-27,OP-005,MC-006,SITE-B,Trenching,Dust Storm,Rocky,28.1,24.7,Medium,2026-08-27T22:56:00,2026-08-28T01:36:00,Medium,Scheduled
TSK-00092,2026-08-27,OP-006,MC-001,SITE-B,Material Loading,Clear,Muddy,33.1,88.2,Medium,2026-08-27T07:00:00,2026-08-27T08:00:00,Medium,Scheduled
TSK-00093,2026-08-27,OP-006,MC-009,SITE-C,Demolition,Dust Storm,Hard Soil,34.7,35.6,Low,2026-08-27T08:30:00,2026-08-27T11:32:00,Low,Scheduled
TSK-00094,2026-08-27,OP-006,MC-010,SITE-C,Trenching,Rain,Muddy,20.1,53.0,High,2026-08-27T12:02:00,2026-08-27T14:10:00,Medium,Scheduled
TSK-00095,2026-08-27,OP-007,MC-006,SITE-B,Excavation,Clear,Rocky,15.4,71.7,High,2026-08-27T19:00:00,2026-08-27T21:28:00,Low,Scheduled
TSK-00096,2026-08-27,OP-008,MC-009,SITE-D,Excavation,Dust Storm,Hard Soil,29.1,48.7,Medium,2026-08-27T07:00:00,2026-08-27T08:54:00,Medium,Scheduled
TSK-00097,2026-08-27,OP-009,MC-003,SITE-A,Material Loading,Dust Storm,Muddy,26.9,5.0,High,2026-08-27T19:00:00,2026-08-27T20:08:00,Low,Scheduled
TSK-00098,2026-08-27,OP-009,MC-007,SITE-B,Grading,Rain,Rocky,12.6,52.6,Medium,2026-08-27T20:38:00,2026-08-27T22:39:00,High,Scheduled
TSK-00099,2026-08-27,OP-009,MC-003,SITE-A,Excavation,Clear,Rocky,19.7,77.1,Low,2026-08-27T23:09:00,2026-08-28T01:32:00,Low,Scheduled
TSK-00100,2026-08-27,OP-010,MC-007,SITE-D,Grading,Clear,Hard Soil,27.8,82.7,Low,2026-08-27T07:00:00,2026-08-27T08:35:00,High,Scheduled
TSK-00101,2026-08-27,OP-011,MC-001,SITE-D,Grading,High Wind,Hard Soil,17.2,48.4,Medium,2026-08-27T19:00:00,2026-08-27T20:22:00,Medium,Scheduled
TSK-00102,2026-08-27,OP-012,MC-006,SITE-B,Demolition,Clear,Rocky,31.4,97.0,Low,2026-08-27T07:00:00,2026-08-27T10:10:00,High,Scheduled
TSK-00103,2026-08-27,OP-012,MC-006,SITE-C,Grading,Clear,Rocky,26.4,92.7,High,2026-08-27T10:40:00,2026-08-27T12:33:00,Low,Scheduled
TSK-00104,2026-08-27,OP-013,MC-004,SITE-D,Material Loading,Clear,Rocky,27.9,73.3,Low,2026-08-27T19:00:00,2026-08-27T20:01:00,High,Scheduled
TSK-00105,2026-08-27,OP-014,MC-010,SITE-D,Grading,Dust Storm,Rocky,24.6,42.5,Medium,2026-08-27T07:00:00,2026-08-27T09:08:00,Low,Scheduled
TSK-00106,2026-08-27,OP-015,MC-001,SITE-C,Excavation,Rain,Hard Soil,17.2,60.8,High,2026-08-27T19:00:00,2026-08-27T21:08:00,High,Scheduled
TSK-00107,2026-08-28,OP-001,MC-004,SITE-B,Material Loading,Clear,Rocky,20.8,63.1,Medium,2026-08-28T19:00:00,2026-08-28T19:58:00,Medium,Scheduled
TSK-00108,2026-08-28,OP-001,MC-010,SITE-C,Trenching,Dust Storm,Rocky,21.4,9.8,High,2026-08-28T20:13:00,2026-08-28T23:50:00,Low,Scheduled
TSK-00109,2026-08-28,OP-002,MC-008,SITE-A,Trenching,Clear,Hard Soil,31.9,89.3,High,2026-08-28T07:00:00,2026-08-28T08:37:00,Low,Scheduled
TSK-00110,2026-08-28,OP-002,MC-010,SITE-D,Trenching,Clear,Soft Soil,31.4,91.0,Medium,2026-08-28T08:57:00,2026-08-28T10:29:00,High,Scheduled
TSK-00111,2026-08-28,OP-002,MC-004,SITE-D,Excavation,Dust Storm,Rocky,32.1,25.1,Medium,2026-08-28T10:49:00,2026-08-28T13:06:00,Low,Scheduled
TSK-00112,2026-08-28,OP-003,MC-004,SITE-B,Material Loading,Rain,Muddy,15.1,33.2,Medium,2026-08-28T19:00:00,2026-08-28T20:06:00,Medium,Scheduled
TSK-00113,2026-08-28,OP-003,MC-004,SITE-D,Demolition,Clear,Hard Soil,20.3,60.7,Low,2026-08-28T20:16:00,2026-08-28T22:47:00,High,Scheduled
TSK-00114,2026-08-28,OP-004,MC-005,SITE-B,Trenching,Dust Storm,Soft Soil,27.7,32.3,Medium,2026-08-28T07:00:00,2026-08-28T08:36:00,Low,Scheduled
TSK-00115,2026-08-28,OP-004,MC-006,SITE-C,Grading,Clear,Muddy,23.5,97.8,Medium,2026-08-28T08:56:00,2026-08-28T10:11:00,High,Scheduled
TSK-00116,2026-08-28,OP-004,MC-009,SITE-C,Excavation,Clear,Rocky,33.2,92.9,Low,2026-08-28T10:21:00,2026-08-28T12:26:00,Low,Scheduled
TSK-00117,2026-08-28,OP-005,MC-004,SITE-A,Excavation,Rain,Soft Soil,15.4,56.5,High,2026-08-28T19:00:00,2026-08-28T20:49:00,Low,Scheduled
TSK-00118,2026-08-28,OP-005,MC-004,SITE-A,Demolition,Dust Storm,Hard Soil,31.2,20.3,Medium,2026-08-28T21:04:00,2026-08-29T00:08:00,High,Scheduled
TSK-00119,2026-08-28,OP-005,MC-006,SITE-A,Grading,Clear,Hard Soil,19.5,65.3,High,2026-08-29T00:23:00,2026-08-29T01:44:00,Low,Scheduled
TSK-00120,2026-08-28,OP-006,MC-006,SITE-C,Demolition,Rain,Hard Soil,19.3,64.4,Low,2026-08-28T07:00:00,2026-08-28T09:25:00,Medium,Scheduled
TSK-00121,2026-08-28,OP-007,MC-001,SITE-B,Excavation,Rain,Soft Soil,19.7,41.0,Medium,2026-08-28T19:00:00,2026-08-28T20:37:00,High,Scheduled
TSK-00122,2026-08-28,OP-008,MC-007,SITE-A,Trenching,Rain,Rocky,19.9,63.4,High,2026-08-28T07:00:00,2026-08-28T09:46:00,Low,Scheduled
TSK-00123,2026-08-28,OP-009,MC-005,SITE-D,Trenching,Clear,Soft Soil,17.5,79.7,High,2026-08-28T19:00:00,2026-08-28T20:22:00,High,Scheduled
TSK-00124,2026-08-28,OP-009,MC-005,SITE-B,Demolition,Clear,Rocky,19.3,80.0,Medium,2026-08-28T20:52:00,2026-08-28T23:09:00,Medium,Scheduled
TSK-00125,2026-08-28,OP-009,MC-006,SITE-D,Excavation,Clear,Muddy,22.3,72.1,High,2026-08-28T23:29:00,2026-08-29T01:13:00,High,Scheduled
TSK-00126,2026-08-28,OP-010,MC-007,SITE-D,Trenching,Clear,Hard Soil,32.7,91.0,Medium,2026-08-28T07:00:00,2026-08-28T08:47:00,Medium,Scheduled
TSK-00127,2026-08-28,OP-011,MC-005,SITE-A,Material Loading,Clear,Rocky,16.9,74.8,Medium,2026-08-28T19:00:00,2026-08-28T19:59:00,Low,Scheduled
TSK-00128,2026-08-28,OP-011,MC-010,SITE-A,Material Loading,Clear,Soft Soil,29.2,80.9,High,2026-08-28T20:14:00,2026-08-28T20:58:00,Medium,Scheduled
TSK-00129,2026-08-28,OP-011,MC-002,SITE-A,Excavation,Clear,Muddy,23.1,67.9,High,2026-08-28T21:08:00,2026-08-28T23:11:00,Low,Scheduled
TSK-00130,2026-08-28,OP-012,MC-009,SITE-D,Material Loading,Clear,Soft Soil,24.1,89.2,High,2026-08-28T07:00:00,2026-08-28T07:49:00,Low,Scheduled
TSK-00131,2026-08-28,OP-013,MC-001,SITE-B,Demolition,Dust Storm,Soft Soil,29.5,16.8,High,2026-08-28T19:00:00,2026-08-28T21:41:00,Medium,Scheduled
TSK-00132,2026-08-28,OP-013,MC-005,SITE-C,Grading,Clear,Hard Soil,22.8,71.8,Medium,2026-08-28T22:01:00,2026-08-28T23:23:00,Low,Scheduled
TSK-00133,2026-08-28,OP-014,MC-008,SITE-B,Material Loading,Clear,Muddy,30.0,100.0,Low,2026-08-28T07:00:00,2026-08-28T08:06:00,High,Scheduled
TSK-00134,2026-08-28,OP-015,MC-009,SITE-A,Grading,Dust Storm,Hard Soil,22.5,30.2,High,2026-08-28T19:00:00,2026-08-28T20:26:00,High,Scheduled
TSK-00135,2026-08-28,OP-015,MC-007,SITE-D,Trenching,Clear,Muddy,16.6,83.7,Low,2026-08-28T20:36:00,2026-08-28T23:03:00,High,Scheduled
TSK-00136,2026-08-29,OP-001,MC-010,SITE-C,Demolition,Clear,Muddy,26.9,67.6,Low,2026-08-29T19:00:00,2026-08-29T21:49:00,Low,Scheduled
TSK-00137,2026-08-29,OP-001,MC-006,SITE-C,Excavation,Clear,Soft Soil,31.0,67.0,Low,2026-08-29T22:04:00,2026-08-29T23:25:00,High,Scheduled
TSK-00138,2026-08-29,OP-001,MC-001,SITE-B,Excavation,Clear,Rocky,14.1,82.6,Medium,2026-08-29T23:55:00,2026-08-30T01:44:00,Low,Scheduled
TSK-00139,2026-08-29,OP-002,MC-010,SITE-D,Material Loading,Clear,Muddy,15.0,94.3,Low,2026-08-29T07:00:00,2026-08-29T08:02:00,Medium,Scheduled
TSK-00140,2026-08-29,OP-002,MC-001,SITE-B,Material Loading,Dust Storm,Muddy,38.3,39.0,Low,2026-08-29T08:12:00,2026-08-29T09:41:00,Low,Scheduled
TSK-00141,2026-08-29,OP-003,MC-007,SITE-D,Material Loading,Clear,Muddy,20.0,81.6,High,2026-08-29T19:00:00,2026-08-29T19:58:00,High,Scheduled
TSK-00142,2026-08-29,OP-003,MC-009,SITE-A,Material Loading,Clear,Hard Soil,20.7,88.8,Medium,2026-08-29T20:13:00,2026-08-29T20:59:00,Low,Scheduled
TSK-00143,2026-08-29,OP-003,MC-008,SITE-B,Grading,Rain,Soft Soil,20.5,45.5,High,2026-08-29T21:14:00,2026-08-29T22:41:00,High,Scheduled
TSK-00144,2026-08-29,OP-004,MC-001,SITE-C,Grading,Dust Storm,Rocky,30.3,37.2,Low,2026-08-29T07:00:00,2026-08-29T08:56:00,Medium,Scheduled
TSK-00145,2026-08-29,OP-004,MC-002,SITE-C,Material Loading,Rain,Soft Soil,25.7,69.2,Low,2026-08-29T09:26:00,2026-08-29T10:18:00,Medium,Scheduled
TSK-00146,2026-08-29,OP-004,MC-005,SITE-D,Material Loading,Clear,Rocky,30.5,95.6,Low,2026-08-29T10:38:00,2026-08-29T11:41:00,High,Scheduled
TSK-00147,2026-08-29,OP-005,MC-009,SITE-D,Trenching,Clear,Soft Soil,21.9,74.7,High,2026-08-29T19:00:00,2026-08-29T20:35:00,Low,Scheduled
TSK-00148,2026-08-29,OP-005,MC-005,SITE-A,Excavation,Clear,Rocky,27.6,76.4,High,2026-08-29T20:50:00,2026-08-29T22:57:00,Medium,Scheduled
TSK-00149,2026-08-29,OP-005,MC-003,SITE-B,Trenching,Clear,Rocky,18.9,82.5,Medium,2026-08-29T23:12:00,2026-08-30T02:01:00,High,Scheduled
TSK-00150,2026-08-29,OP-006,MC-001,SITE-A,Material Loading,Clear,Muddy,26.0,83.2,Medium,2026-08-29T07:00:00,2026-08-29T08:08:00,Medium,Scheduled
