task_id,date,operator_id,machine_id,site_id,task_type,environmental_condition,terrain_type,priority,status,scheduled_duration_min,actual_duration_min,overrun_min,idle_pct,seatbelt_compliance_pct,proximity_alert_count,unsafe_event_count,avg_speed_kmph,max_speed_kmph,avg_engine_temp_c,avg_vibration
TSK-00030,2026-08-25,OP-005,MC-003,SITE-B,Grading,Clear,Soft Soil,High,Scheduled,57.0,56.0,-1.0,0.0,100.0,0,0,7.559649122807017,14.7,84.15964912280702,3.088421052631579
TSK-00031,2026-08-25,OP-005,MC-002,SITE-C,Excavation,Clear,Muddy,High,Scheduled,104.0,94.0,-10.0,6.3,100.0,0,0,7.1294736842105255,13.8,85.13052631578947,3.0186315789473683
TSK-00032,2026-08-25,OP-005,MC-002,SITE-A,Demolition,Clear,Hard Soil,Low,Scheduled,62.0,71.0,9.0,6.9,100.0,0,0,7.658333333333333,15.1,86.9361111111111,3.045
TSK-00033,2026-08-25,OP-006,MC-001,SITE-D,Excavation,High Wind,Hard Soil,High,Scheduled,74.0,52.0,-22.0,5.7,100.0,0,0,8.666037735849057,15.5,84.07358490566037,2.8526415094339623
TSK-00034,2026-08-25,OP-007,MC-008,SITE-D,Demolition,Clear,Rocky,Medium,Scheduled,122.0,147.0,25.0,27.7,100.0,0,0,5.75472972972973,15.6,84.45135135135135,3.0962837837837838
TSK-00035,2026-08-25,OP-008,MC-009,SITE-B,Material Loading,Clear,Rocky,Medium,Scheduled,121.0,98.0,-23.0,9.1,100.0,1,0,7.692929292929293,16.0,84.18383838383839,3.125252525252525
TSK-00036,2026-08-25,OP-009,MC-006,SITE-A,Trenching,Rain,Soft Soil,Low,Scheduled,92.0,75.0,-17.0,5.3,100.0,0,0,7.6000000000000005,15.0,85.64078947368421,2.8925
TSK-00037,2026-08-25,OP-009,MC-010,SITE-C,Grading,High Wind,Soft Soil,Low,Scheduled,77.0,68.0,-9.0,1.4,100.0,1,0,7.2043478260869565,14.8,85.3695652173913,2.9721739130434783
TSK-00038,2026-08-25,OP-010,MC-007,SITE-B,Trenching,Dust Storm,Rocky,High,Scheduled,73.0,78.0,5.0,6.3,100.0,2,0,7.425316455696203,13.9,83.30759493670887,3.147848101265823
TSK-00039,2026-08-25,OP-010,MC-009,SITE-C,Excavation,High Wind,Hard Soil,Medium,Scheduled,113.0,123.0,10.0,4.8,100.0,0,0,7.336290322580646,15.8,84.70645161290322,2.99241935483871
TSK-00040,2026-08-25,OP-011,MC-003,SITE-B,Material Loading,Clear,Hard Soil,High,Scheduled,70.0,75.0,5.0,32.9,100.0,0,0,5.00921052631579,13.4,86.11447368421052,3.2578947368421054
TSK-00041,2026-08-25,OP-012,MC-004,SITE-C,Demolition,Clear,Soft Soil,Low,Scheduled,115.0,100.0,-15.0,2.0,100.0,1,0,7.703960396039604,15.4,87.15742574257425,3.0331683168316834
TSK-00042,2026-08-25,OP-012,MC-010,SITE-C,Excavation,Clear,Hard Soil,High,Scheduled,142.0,162.0,20.0,4.9,100.0,1,0,7.408588957055215,14.3,84.65398773006135,3.072883435582822
TSK-00043,2026-08-25,OP-013,MC-010,SITE-D,Demolition,Rain,Soft Soil,Low,Scheduled,102.0,81.0,-21.0,3.7,100.0,0,0,7.429268292682927,14.6,85.15731707317073,3.1792682926829268
TSK-00044,2026-08-25,OP-013,MC-004,SITE-B,Demolition,Clear,Rocky,High,Scheduled,82.0,78.0,-4.0,2.5,100.0,1,0,8.060759493670885,16.8,83.63291139240506,3.1222784810126583
TSK-00045,2026-08-25,OP-014,MC-006,SITE-B,Excavation,Clear,Soft Soil,Medium,Scheduled,146.0,144.0,-2.0,4.8,100.0,0,0,7.402068965517241,14.8,83.94896551724138,3.0430344827586207
TSK-00046,2026-08-25,OP-015,MC-001,SITE-A,Material Loading,Rain,Muddy,High,Scheduled,185.0,144.0,-41.0,3.4,100.0,0,0,7.748275862068965,16.2,86.34827586206896,2.9968275862068965
TSK-00047,2026-08-26,OP-001,MC-005,SITE-B,Grading,Dust Storm,Soft Soil,Low,Scheduled,92.0,60.0,-32.0,6.6,100.0,0,0,7.8786885245901646,14.4,85.00655737704918,2.8047540983606556
TSK-00048,2026-08-26,OP-002,MC-009,SITE-B,Material Loading,Clear,Soft Soil,Medium,Scheduled,85.0,131.0,46.0,25.0,100.0,0,0,6.26439393939394,15.7,85.28484848484848,3.034848484848485
TSK-00049,2026-08-26,OP-002,MC-006,SITE-D,Grading,Clear,Muddy,Medium,Scheduled,107.0,122.0,15.0,26.0,100.0,0,0,6.032520325203252,15.8,85.53495934959349,3.1320325203252035
TSK-00050,2026-08-26,OP-003,MC-007,SITE-B,Excavation,Rain,Muddy,Medium,Scheduled,56.0,46.0,-10.0,6.4,100.0,0,0,7.314893617021277,13.9,84.32127659574468,3.0991489361702125
TSK-00051,2026-08-26,OP-003,MC-008,SITE-A,Material Loading,Clear,Muddy,High,Scheduled,128.0,136.0,8.0,6.6,100.0,2,0,7.275182481751825,15.1,84.44014598540146,3.0258394160583943
TSK-00052,2026-08-26,OP-004,MC-003,SITE-A,Material Loading,Clear,Rocky,Low,Scheduled,112.0,97.0,-15.0,5.1,100.0,0,0,7.695918367346939,15.9,86.3969387755102,3.0092857142857143
TSK-00053,2026-08-26,OP-004,MC-005,SITE-D,Material Loading,Rain,Rocky,Medium,Scheduled,108.0,96.0,-12.0,1.0,100.0,0,0,8.106185567010309,15.2,86.75670103092783,3.140515463917526
TSK-00054,2026-08-26,OP-005,MC-008,SITE-B,Material Loading,Clear,Muddy,Low,Scheduled,80.0,58.0,-22.0,5.1,100.0,3,0,7.657627118644068,14.5,86.25762711864407,3.2732203389830508
TSK-00055,2026-08-26,OP-006,MC-002,SITE-D,Excavation,High Wind,Rocky,High,Scheduled,187.0,143.0,-44.0,6.2,100.0,1,0,7.390277777777778,15.6,85.36111111111111,2.9522222222222223
TSK-00056,2026-08-26,OP-007,MC-005,SITE-C,Demolition,Clear,Muddy,Medium,Scheduled,123.0,126.0,3.0,31.5,100.0,1,1,5.445669291338583,22.3,84.86771653543308,2.943070866141732
TSK-00057,2026-08-26,OP-007,MC-009,SITE-C,Demolition,Clear,Muddy,High,Scheduled,154.0,232.0,78.0,21.0,100.0,0,0,6.583690987124464,15.3,85.18197424892705,2.8618884120171675
TSK-00058,2026-08-26,OP-008,MC-004,SITE-C,Trenching,Clear,Soft Soil,Medium,Scheduled,102.0,109.0,7.0,7.3,100.0,2,0,8.201818181818183,17.8,84.84454545454545,3.0135454545454547
TSK-00059,2026-08-26,OP-008,MC-003,SITE-B,Trenching,Rain,Rocky,Medium,Scheduled,73.0,76.0,3.0,2.6,100.0,1,0,8.076623376623376,13.9,84.68051948051948,3.1155844155844155
TSK-00060,2026-08-26,OP-008,MC-009,SITE-D,Grading,Clear,Hard Soil,High,Scheduled,80.0,73.0,-7.0,8.1,100.0,1,0,6.947297297297298,15.1,84.58378378378379,2.776081081081081
TSK-00061,2026-08-26,OP-009,MC-002,SITE-C,Excavation,Dust Storm,Hard Soil,High,Scheduled,103.0,105.0,2.0,5.7,100.0,1,0,7.0783018867924525,15.8,84.51603773584907,2.994622641509434
TSK-00062,2026-08-26,OP-010,MC-004,SITE-B,Grading,Clear,Hard Soil,Medium,Scheduled,72.0,77.0,5.0,3.8,100.0,1,1,7.975641025641026,15.0,85.7551282051282,2.98948717948718
TSK-00063,2026-08-26,OP-010,MC-008,SITE-D,Trenching,Dust Storm,Hard Soil,High,Scheduled,45.0,37.0,-8.0,0.0,100.0,0,0,8.021052631578948,14.7,84.88157894736842,3.2426315789473685
TSK-00064,2026-08-26,OP-011,MC-007,SITE-D,Grading,Clear,Soft Soil,Low,Scheduled,91.0,117.0,26.0,20.3,100.0,0,0,6.8338983050847455,14.0,85.00932203389831,3.080593220338983
TSK-00065,2026-08-26,OP-011,MC-002,SITE-B,Grading,Dust Storm,Muddy,Low,Scheduled,101.0,129.0,28.0,23.8,100.0,1,1,6.5176923076923075,19.1,84.1746153846154,3.099076923076923
TSK-00066,2026-08-26,OP-011,MC-010,SITE-A,Trenching,Clear,Muddy,High,Scheduled,133.0,161.0,28.0,20.4,100.0,1,1,6.4753086419753085,28.1,83.91358024691358,2.9171604938271605
TSK-00067,2026-08-26,OP-012,MC-001,SITE-D,Demolition,Clear,Hard Soil,High,Scheduled,68.0,72.0,4.0,6.8,100.0,0,0,7.621917808219178,16.2,83.44520547945206,2.996986301369863
TSK-00068,2026-08-26,OP-012,MC-006,SITE-D,Material Loading,Rain,Rocky,High,Scheduled,80.0,85.0,5.0,9.3,100.0,0,0,7.280232558139535,16.1,84.63488372093023,3.120116279069767
TSK-00069,2026-08-26,OP-013,MC-002,SITE-C,Trenching,Clear,Rocky,Low,Scheduled,40.0,34.0,-6.0,0.0,100.0,0,0,8.182857142857141,15.9,86.79714285714286,3.328
TSK-00070,2026-08-26,OP-013,MC-009,SITE-C,Material Loading,Dust Storm,Soft Soil,Low,Scheduled,94.0,114.0,20.0,2.6,100.0,1,0,7.762608695652174,16.1,85.72086956521738,3.2844347826086953
TSK-00071,2026-08-26,OP-013,MC-004,SITE-B,Trenching,Rain,Hard Soil,Low,Scheduled,121.0,91.0,-30.0,5.4,100.0,0,0,7.854347826086957,17.4,83.9108695652174,2.733478260869565
TSK-00072,2026-08-26,OP-014,MC-008,SITE-C,Demolition,Clear,Soft Soil,Low,Scheduled,100.0,120.0,20.0,5.8,100.0,0,0,7.901652892561984,13.7,85.75537190082645,3.048512396694215
TSK-00073,2026-08-26,OP-014,MC-004,SITE-D,Demolition,High Wind,Soft Soil,High,Scheduled,147.0,116.0,-31.0,6.0,100.0,0,0,8.048717948717949,15.9,84.54615384615384,2.8652991452991454
TSK-00074,2026-08-26,OP-014,MC-002,SITE-D,Excavation,High Wind,Rocky,Medium,Scheduled,99.0,75.0,-24.0,7.9,100.0,1,0,7.34078947368421,15.8,86.84210526315789,3.0135526315789476
TSK-00075,2026-08-26,OP-015,MC-001,SITE-D,Grading,Clear,Muddy,Low,Scheduled,82.0,63.0,-19.0,3.1,100.0,2,0,7.428125,14.2,83.8375,3.08796875
TSK-00076,2026-08-26,OP-015,MC-005,SITE-C,Trenching,Rain,Muddy,Low,Scheduled,102.0,107.0,5.0,0.9,100.0,0,0,7.881481481481482,16.3,85.15370370370371,3.0275925925925926
TSK-00077,2026-08-26,OP-015,MC-001,SITE-D,Demolition,Clear,Soft Soil,Low,Scheduled,130.0,130.0,0.0,3.8,100.0,3,0,7.73969465648855,14.5,84.8206106870229,2.8131297709923664
TSK-00078,2026-08-27,OP-001,MC-001,SITE-D,Grading,Clear,Muddy,Medium,Scheduled,96.0,98.0,2.0,5.1,100.0,0,0,7.6313131313131315,14.4,85.01010101010101,2.9714141414141415
TSK-00079,2026-08-27,OP-001,MC-004,SITE-D,Material Loading,Clear,Muddy,Medium,Scheduled,30.0,29.0,-1.0,3.3,100.0,0,0,7.36,13.6,85.33999999999999,2.7700000000000005
TSK-00080,2026-08-27,OP-001,MC-003,SITE-C,Excavation,Clear,Soft Soil,Medium,Scheduled,123.0,96.0,-27.0,3.1,100.0,0,0,7.771134020618557,15.3,84.52886597938144,2.866288659793814
TSK-00081,2026-08-27,OP-002,MC-002,SITE-A,Excavation,High Wind,Hard Soil,Low,Scheduled,46.0,62.0,16.0,28.6,100.0,0,0,5.8999999999999995,14.4,85.82063492063492,2.8269841269841267
TSK-00082,2026-08-27,OP-003,MC-008,SITE-B,Trenching,Rain,Hard Soil,Medium,Scheduled,65.0,62.0,-3.0,6.3,100.0,0,0,7.601587301587301,16.5,85.94444444444444,3.0985714285714288
TSK-00083,2026-08-27,OP-004,MC-009,SITE-B,Demolition,Rain,Soft Soil,Low,Scheduled,73.0,59.0,-14.0,3.3,100.0,2,1,8.1,13.8,85.925,2.9521666666666664
TSK-00084,2026-08-27,OP-004,MC-008,SITE-A,Demolition,Clear,Rocky,High,Scheduled,115.0,102.0,-13.0,3.9,0.0,0,1,7.9155339805825236,15.6,84.22135922330096,3.186116504854369
TSK-00085,2026-08-27,OP-005,MC-010,SITE-B,Excavation,Clear,Hard Soil,Low,Scheduled,71.0,86.0,15.0,5.7,100.0,0,0,7.944827586206897,16.0,84.57126436781608,3.116551724137931
TSK-00086,2026-08-27,OP-005,MC-007,SITE-A,Demolition,Rain,Rocky,High,Scheduled,116.0,97.0,-19.0,4.1,100.0,0,0,7.5,15.8,85.52142857142857,3.068571428571429
TSK-00087,2026-08-27,OP-005,MC-007,SITE-C,Excavation,Clear,Rocky,Low,Scheduled,104.0,96.0,-8.0,5.2,100.0,1,0,7.624742268041238,15.7,86.32680412371134,3.0077319587628866
TSK-00088,2026-08-27,OP-006,MC-008,SITE-A,Trenching,High Wind,Muddy,High,Scheduled,140.0,132.0,-8.0,3.8,100.0,1,0,7.6609022556390975,16.8,84.37067669172932,3.1477443609022555
TSK-00089,2026-08-27,OP-006,MC-006,SITE-D,Grading,Rain,Rocky,High,Scheduled,116.0,141.0,25.0,4.2,100.0,0,0,7.8260563380281685,15.2,83.66408450704225,3.000774647887324
TSK-00090,2026-08-27,OP-006,MC-010,SITE-D,Trenching,Dust Storm,Rocky,Medium,Scheduled,48.0,48.0,0.0,2.0,100.0,0,0,8.577551020408164,16.2,86.36326530612246,2.8002040816326534
TSK-00091,2026-08-27,OP-007,MC-001,SITE-C,Trenching,Clear,Muddy,High,Scheduled,106.0,140.0,34.0,25.5,100.0,0,0,5.753900709219858,15.1,85.60212765957446,3.014751773049645
TSK-00092,2026-08-27,OP-008,MC-004,SITE-A,Trenching,Dust Storm,Hard Soil,Medium,Scheduled,113.0,96.0,-17.0,6.2,100.0,0,0,7.48659793814433,16.8,86.15670103092785,3.30340206185567
TSK-00093,2026-08-27,OP-008,MC-005,SITE-C,Material Loading,Clear,Rocky,High,Scheduled,94.0,83.0,-11.0,7.1,100.0,0,0,7.448809523809524,17.4,85.93928571428572,2.762380952380952
TSK-00094,2026-08-27,OP-008,MC-001,SITE-B,Excavation,Clear,Muddy,Medium,Scheduled,41.0,41.0,0.0,7.1,100.0,0,0,6.564285714285714,14.1,83.42857142857143,2.9826190476190475
TSK-00095,2026-08-27,OP-009,MC-002,SITE-D,Trenching,Rain,Soft Soil,Medium,Scheduled,91.0,80.0,-11.0,0.0,100.0,3,0,8.546913580246914,15.5,85.19135802469135,3.1698765432098766
TSK-00096,2026-08-27,OP-010,MC-003,SITE-B,Material Loading,Rain,Rocky,Medium,Scheduled,72.0,61.0,-11.0,6.5,100.0,2,0,7.364516129032259,14.1,83.05645161290323,2.9093548387096773
TSK-00097,2026-08-27,OP-011,MC-004,SITE-C,Material Loading,Rain,Rocky,Medium,Scheduled,97.0,134.0,37.0,23.7,0.0,0,1,6.154814814814815,14.8,84.89037037037038,2.921777777777778
TSK-00098,2026-08-27,OP-011,MC-004,SITE-B,Excavation,Rain,Rocky,Low,Scheduled,95.0,100.0,5.0,23.8,100.0,0,0,6.126732673267326,15.3,83.82475247524752,2.984059405940594
TSK-00099,2026-08-27,OP-012,MC-002,SITE-B,Trenching,Clear,Rocky,Low,Scheduled,100.0,87.0,-13.0,5.7,100.0,0,0,7.680681818181818,13.4,85.59545454545454,2.982159090909091
TSK-00100,2026-08-27,OP-013,MC-007,SITE-B,Material Loading,Clear,Soft Soil,High,Scheduled,69.0,75.0,6.0,6.6,100.0,1,1,7.938157894736841,15.7,84.63026315789473,3.01921052631579
TSK-00101,2026-08-27,OP-014,MC-002,SITE-A,Excavation,Clear,Hard Soil,High,Scheduled,30.0,27.0,-3.0,0.0,100.0,0,0,6.860714285714286,11.6,85.58928571428571,2.7971428571428576
TSK-00102,2026-08-27,OP-015,MC-010,SITE-A,Demolition,Clear,Muddy,Medium,Scheduled,45.0,48.0,3.0,0.0,100.0,0,0,7.8612244897959185,16.1,84.48775510204081,3.1985714285714284
TSK-00103,2026-08-27,OP-015,MC-007,SITE-B,Excavation,Clear,Muddy,Low,Scheduled,124.0,151.0,27.0,3.3,100.0,0,0,8.076973684210527,17.4,85.23815789473684,2.9044078947368424
TSK-00104,2026-08-27,OP-015,MC-006,SITE-D,Trenching,Clear,Soft Soil,Low,Scheduled,139.0,169.0,30.0,4.1,100.0,1,0,7.725882352941177,15.8,85.16764705882353,3.0589999999999997
TSK-00105,2026-08-28,OP-001,MC-002,SITE-A,Grading,Clear,Muddy,High,Scheduled,88.0,76.0,-12.0,2.6,100.0,0,0,7.585714285714286,12.7,85.40259740259741,3.1937662337662336
TSK-00106,2026-08-28,OP-002,MC-003,SITE-D,Trenching,Clear,Muddy,Medium,Scheduled,131.0,153.0,22.0,31.2,100.0,3,3,5.888311688311688,21.3,84.51948051948052,3.164025974025974
TSK-00107,2026-08-28,OP-003,MC-001,SITE-B,Grading,Clear,Soft Soil,Low,Scheduled,120.0,119.0,-1.0,5.8,100.0,0,0,7.492500000000001,15.3,85.4275,3.1114166666666665
TSK-00108,2026-08-28,OP-004,MC-005,SITE-A,Grading,Clear,Muddy,High,Scheduled,116.0,107.0,-9.0,4.6,100.0,0,0,7.847222222222222,15.5,85.03703703703704,2.8697222222222223
TSK-00109,2026-08-28,OP-005,MC-007,SITE-A,Grading,Clear,Rocky,High,Scheduled,61.0,69.0,8.0,7.1,100.0,1,0,7.877142857142857,14.8,84.66428571428571,2.911142857142857
TSK-00110,2026-08-28,OP-005,MC-004,SITE-A,Grading,High Wind,Hard Soil,Medium,Scheduled,80.0,96.0,16.0,6.2,100.0,0,0,7.447422680412371,15.5,86.26185567010309,2.9643298969072167
TSK-00111,2026-08-28,OP-005,MC-009,SITE-B,Grading,High Wind,Hard Soil,Low,Scheduled,75.0,94.0,19.0,3.2,100.0,2,1,8.093684210526316,16.7,84.30421052631579,2.9998947368421054
TSK-00112,2026-08-28,OP-006,MC-004,SITE-C,Demolition,Rain,Rocky,Medium,Scheduled,104.0,115.0,11.0,8.6,100.0,1,0,7.306034482758621,15.6,84.45344827586207,3.0781896551724137
TSK-00113,2026-08-28,OP-007,MC-009,SITE-C,Trenching,High Wind,Muddy,Medium,Scheduled,129.0,174.0,45.0,25.7,100.0,1,1,6.173142857142857,15.9,84.89885714285714,2.939771428571429
TSK-00114,2026-08-28,OP-008,MC-009,SITE-D,Material Loading,Rain,Soft Soil,Low,Scheduled,89.0,106.0,17.0,5.6,100.0,1,0,7.654205607476635,15.5,84.57196261682243,3.0122429906542054
TSK-00115,2026-08-28,OP-009,MC-010,SITE-C,Demolition,Clear,Hard Soil,Medium,Scheduled,50.0,51.0,1.0,5.8,100.0,3,1,7.917307692307692,14.9,85.30576923076923,2.9026923076923077
TSK-00116,2026-08-28,OP-010,MC-003,SITE-B,Demolition,Clear,Muddy,Low,Scheduled,66.0,63.0,-3.0,4.7,0.0,0,1,7.153125,15.7,84.6796875,3.07328125
TSK-00117,2026-08-28,OP-010,MC-010,SITE-C,Trenching,Clear,Soft Soil,Low,Scheduled,85.0,104.0,19.0,4.8,100.0,2,1,7.408571428571428,14.6,84.9047619047619,3.0945714285714288
TSK-00118,2026-08-28,OP-010,MC-006,SITE-D,Trenching,Clear,Muddy,High,Scheduled,43.0,49.0,6.0,2.0,100.0,0,0,7.1739999999999995,14.4,84.964,2.96
TSK-00119,2026-08-28,OP-011,MC-002,SITE-A,Material Loading,Clear,Soft Soil,Medium,Scheduled,173.0,206.0,33.0,22.2,100.0,0,0,6.542512077294686,16.5,85.30579710144927,2.9008212560386473
TSK-00120,2026-08-28,OP-012,MC-005,SITE-D,Excavation,Clear,Rocky,High,Scheduled,126.0,130.0,4.0,3.8,100.0,0,0,7.630534351145038,15.5,85.17175572519083,2.863740458015267
TSK-00121,2026-08-28,OP-013,MC-002,SITE-A,Grading,Clear,Hard Soil,Medium,Scheduled,30.0,22.0,-8.0,0.0,100.0,2,0,7.343478260869565,11.0,82.91304347826087,3.0243478260869567
TSK-00122,2026-08-28,OP-013,MC-009,SITE-D,Excavation,Clear,Hard Soil,High,Scheduled,97.0,78.0,-19.0,11.4,100.0,1,0,6.982278481012658,17.8,84.55949367088607,2.9050632911392404
TSK-00123,2026-08-28,OP-013,MC-009,SITE-C,Demolition,Clear,Muddy,Low,Scheduled,97.0,96.0,-1.0,5.2,100.0,2,0,7.517525773195877,15.9,84.51855670103092,3.1302061855670105
TSK-00124,2026-08-28,OP-014,MC-006,SITE-D,Excavation,Rain,Hard Soil,Medium,Scheduled,105.0,93.0,-12.0,6.4,100.0,2,0,7.030851063829787,16.2,85.22234042553191,3.145
TSK-00125,2026-08-28,OP-015,MC-001,SITE-D,Trenching,High Wind,Hard Soil,Medium,Scheduled,97.0,75.0,-22.0,6.6,100.0,1,0,7.538157894736842,13.7,86.16578947368421,3.1257894736842107
TSK-00126,2026-08-28,OP-015,MC-003,SITE-D,Grading,High Wind,Hard Soil,Low,Scheduled,79.0,100.0,21.0,5.9,100.0,1,0,7.449504950495049,15.0,85.14653465346534,3.4991089108910893
TSK-00127,2026-08-29,OP-001,MC-005,SITE-C,Demolition,Clear,Soft Soil,Medium,Scheduled,97.0,78.0,-19.0,8.9,100.0,0,0,7.974683544303797,14.5,83.90886075949368,2.828101265822785
TSK-00128,2026-08-29,OP-001,MC-006,SITE-D,Grading,Clear,Muddy,Medium,Scheduled,98.0,98.0,0.0,5.1,100.0,1,0,7.649494949494949,14.6,84.45151515151515,3.0508080808080806
